id,type,text1,text2,text3,text4,text5,notes
brdy_squallgun,WEAPON,"The Gale Cannon sacrifices range and rate of fire for the ability to punch through most armor with a single well-timed hit.

Firing heavy shaped-charge rounds, it can blow a hole in most military-grade armor with one shot. As they were designed to be reliable, the barrel and turret house can withstand vacuum welding and spalling for a long time, making it a low-maintenance weapon suitable for long-range missions. Oversized ammo and a focus on service life means that the autoloader and heatsinks have been downprioritized, giving the Gale Cannon a very low rate of fire.

Most of the turret house consists of recoil-absorbing servos and gel reservoirs, making it feasible to mount the cannon on smaller ships without exceeding ordnance budgets. Because its effective range is low, it serves best as a main gun aboard agile frigates and assault destroyers.",Anti Armor,,,,
brdy_thunderhead,WEAPON,An accurate quad-barrel autocannon that will quickly hammer its way through shields (and lightly-armored obstacles) at close range.,Anti Shield,,,,
brdy_ac,WEAPON,"A midrange weapon useful against all targets, that sacrifices some efficiency for more power vs. armor plating than standard kinetic cannons.

The Shard Cannon draws its name from its special ammunition, the Phase Shard. Made in a reactor that constantly displaces a growing crystal between phase-space and normal-space, they carry an interdimensional vibration within their molecular bonds. The Shard Cannon fire control assembly induces an oscillation right before a round leaves the barrel, making it volatile. If an activated Shard shatters and lodges itself inside a foreign material, the disrupted standing wave can cause twisted particles to return to the universe as antimatter and subsequently annihilate. A major drawback is that no Shard will shatter in the same way, so only a small portion of hits generate a reaction. Luckily, the overall frequency of detonations is high enough that it grants the weapon added power against armor and hull.",General,,,,
brdy_amlance,WEAPON,Fires massive bolts of antimatter with devastating results. Has a firing delay that must be compensated for. Holds charges that replenish over time. Payload size can vary slightly.,Strike,,,,
achilles_mrm,WEAPON,"An advanced missile that splits into three heatseekers with EMP warheads. Its superhot payload deals extra damage to hull and armor, and can obliterate unarmored targets.

Time and time again, detractors have pointed out that the weapon keeps ending up in the wrong hands, where its utter lethality against poorly protected ships takes a toll on Sector shipping. Blackrock Drive Yards representatives maintain that with proper measures (and Blackrock technology, especially) the playing field can be evened out, and that the Salamander MRM is still more popular outside of Blackrock fleets.",Anti Engine,,,,
achillespod,WEAPON,"A pod of advanced missiles that split into three heatseekers with EMP warheads. Their superhot payload deals extra damage to hull and armor, and can obliterate unarmored targets.

Time and time again, detractors have pointed out that the weapon keeps ending up in the wrong hands, where its utter lethality against poorly protected ships takes a toll on Sector shipping. Blackrock Drive Yards representatives maintain that with proper measures (and Blackrock technology, especially) the playing field can be evened out, and that the Salamander MRM is still more popular outside of Corporate fleets.",Anti Engine,,,,
brdy_quill,WEAPON,"Launches Shard-tipped rockets that accelerate to great speeds. Chance for a secondary effect if the rockets strike armor.

The Quill is a simple anti-shield weapon that uses a rocket to deliver a massive Shard warhead. Against light armor, repeated hits from Quill rockets can be a serious threat, as the detonations are heavier than those of cannon-fired Shard rounds.",Pressure,,,,
brdy_quillpod,WEAPON,"Launches a barrage of Shard-tipped rockets that accelerate to great speeds. Chance for a secondary effect if the rockets strike armor.

The Quill is a simple anti-shield weapon that uses a rocket to deliver a massive Shard warhead. Against light armor, repeated hits from Quill rockets can be a serious threat, as the detonations are heavier than those of cannon-fired Shard rounds.",Pressure,,,,
brdy_solenoid,WEAPON,"Fires a jet of magnetic fluid that focuses a great deal of kinetic energy on a single point and moves at incredible speeds. Great against weak armor, small ships that are normally hard to hit, or for inflicting bursts of damage when several Ferroguns are fired together.

A complicated set of pressure vessels, magnetic coils and nearly frictionless coatings are required for the Ferrogun to operate smoothly. Once fired, the jet of ferrofluid maintains integrity thanks to the properties of the particles embedded in the fluid, and a combination of sheer kinetic energy and static charge makes it very effective against shields. The Ferrogun also easily punctures light spaced armor, which is devastating against smaller targets with little space between their armor belts and vital hull components.

Blackrock also manufactures an anti-personnel version of the Ferrogun for atmospheric and planetside combat. With low effective range compared to vacuum operation, the Type-II Ferrogun compensates by firing a flammable compound that becomes sticky when exposed to atmospheric gases, punching power-armored troops to the ground and rendering them incapable of movement",Anti Shield,,,,
brdy_ag,WEAPON,"Features a rotating drum that fires into a single barrel, yielding a powerful opening barrage, while sustained output is lower due to heatsink performance and ammo loading.

Thanks to its design, maintenance for the INM is practical, as ammo drums/firing assemblies can be replaced wholesale.
Due to the Corporation's long history, the acronym this weapon is known for has lost its original meaning, but it may refer to the ''Ichneumon''-type anti-armor shell commonly used with the gun. The shells are designed to penetrate as deep into spaced armor as possible before detonating. This ensures a greater overall destructive effect per round than with shells of a similar caliber.",Anti Armor,,,,
brburst,WEAPON,"Quickly neutralizes any unshielded fighter. Projects a very wide beam that pierces and destroys missiles, but prioritizes targeting fighters before missiles. Can be an asset when knife-fighting enemy ships, as well.",Anti-Fighter / PD,,,,
